account_id,amount,duration,payments,frequency,date_diff,card_type,no_orders,avg_order,avg_trans,avg_bal,no_of_trans,total_inhabitants,avg_unemp_rt,avg_crime_rt,avg_salary,age_at_loan,gender,same_district,status
9403,120888,36,3358,Weekly Statement,496,NULL,2,3291.5,6206.53,39186.99,431,1204953,0.36,0.077,12541,50,F,1,Good
9472,36396,12,3033,Weekly Statement,671,NULL,2,4076,9881.05,53966.39,454,1204953,0.36,0.077,12541,19,M,0,Good
9510,228276,36,6341,Monthly Statement,166,NULL,1,6341,6025.83,36799.78,167,1204953,0.36,0.077,12541,31,M,1,Good
9560,157068,36,4363,Monthly Statement,245,NULL,2,5798.35,11534.26,52712.79,88,1204953,0.36,0.077,12541,27,F,1,Good
9640,76416,24,3184,Monthly Statement,669,NULL,3,5956.1,6509.83,40070.96,530,1204953,0.36,0.077,12541,53,M,1,Good
9646,279072,48,5814,Weekly Statement,611,NULL,1,5813.5,12456.66,42764.55,143,1204953,0.36,0.077,12541,25,M,1,Good
9897,36168,12,3014,Monthly Statement,202,NULL,4,3953.12,5208,30307.7,382,1204953,0.36,0.077,12541,30,M,1,Good
10022,218064,48,4543,Monthly Statement,241,classic,3,5441.57,8411.59,52006.02,133,1204953,0.36,0.077,12541,54,F,1,Good
10068,77808,12,6484,Monthly Statement,117,NULL,1,6483.7,11947.69,54901.3,144,1204953,0.36,0.077,12541,38,M,1,Good
10093,231696,36,6436,Weekly Statement,476,NULL,4,4152.75,9992.61,44400.91,470,1204953,0.36,0.077,12541,18,M,1,Good
10131,215388,36,5983,Monthly Statement,156,NULL,1,5983,7253.25,35553.19,399,1204953,0.36,0.077,12541,30,M,0,Bad
10404,194280,60,3238,Monthly Statement,426,classic,5,1519,5957.95,47123.98,208,1204953,0.36,0.077,12541,25,M,1,Good
10451,482940,60,8049,Monthly Statement,477,NULL,4,3957.5,3753.92,19822.55,598,1204953,0.36,0.077,12541,19,F,1,Bad
10652,45720,12,3810,Monthly Statement,415,NULL,3,2487.33,9059.65,38910.12,149,1204953,0.36,0.077,12541,19,F,1,Good
10679,197808,24,8242,Monthly Statement,125,classic,2,7455.9,17554.73,67736.73,116,1204953,0.36,0.077,12541,35,F,1,Good
10762,68832,36,1912,Monthly Statement,330,NULL,2,3673.5,6292.37,36905.75,245,1204953,0.36,0.077,12541,33,M,1,Good
10911,131292,36,3647,Weekly Statement,425,NULL,2,5479.5,7146.4,39886.77,460,1204953,0.36,0.077,12541,36,M,1,Good
11013,274740,60,4579,Weekly Statement,204,junior,3,4944.67,11166.87,56912.55,571,1204953,0.36,0.077,12541,11,M,0,Good
11021,168984,24,7041,Monthly Statement,571,NULL,1,7040.7,10103.73,63229.36,499,1204953,0.36,0.077,12541,15,M,1,Bad
11111,108144,36,3004,Monthly Statement,256,NULL,2,3870.25,11284.77,59002.17,492,1204953,0.36,0.077,12541,31,F,0,Good
11141,44940,12,3745,Weekly Statement,238,classic,1,3744.7,11159.27,61940.02,152,1204953,0.36,0.077,12541,22,F,1,Good
11231,89280,12,7440,Monthly Statement,261,NULL,3,5817.5,12635.16,50357.55,173,1204953,0.36,0.077,12541,46,M,1,Good
11349,419880,60,6998,Weekly Statement,156,NULL,2,8942,13017.67,48769.45,304,1204953,0.36,0.077,12541,50,F,1,Good
1166,149040,48,3105,Monthly Statement,292,NULL,2,3751.1,6158.57,37200.37,447,75637,0.52,0.046,9622,25,F,1,Good
2824,50460,60,841,Monthly Statement,269,gold,2,4065,4952.83,56606.76,413,75637,0.52,0.046,9622,47,F,1,Good
4081,137904,24,5746,Monthly Statement,129,NULL,1,5746,5014.36,10176.76,215,75637,0.52,0.046,9622,24,M,1,Bad
7274,49044,12,4087,Monthly Statement,165,NULL,2,4344.9,9049.85,37358.74,87,75637,0.52,0.046,9622,45,F,1,Good
8173,80340,12,6695,Monthly Statement,319,junior,1,6695,13587.57,56843.84,423,75637,0.52,0.046,9622,18,F,0,Good
9225,164256,48,3422,Monthly Statement,468,NULL,1,3421.5,9705.64,52243.15,264,75637,0.52,0.046,9622,21,M,1,Good
9236,86616,12,7218,Monthly Statement,125,NULL,3,3911,3690.74,55418.81,561,75637,0.52,0.046,9622,28,M,1,Good
9631,59448,24,2477,Monthly Statement,502,NULL,1,2476.8,5682.89,26120.89,177,75637,0.52,0.046,9622,36,M,1,Good
9828,126600,24,5275,Monthly Statement,693,NULL,1,5274.7,11348.63,45819.11,406,75637,0.52,0.046,9622,52,M,0,Good
10663,260028,36,7223,Monthly Statement,689,classic,3,7107.4,11962.19,46606.31,473,75637,0.52,0.046,9622,15,M,1,Good
11065,69360,48,1445,Monthly Statement,450,NULL,1,1445,4401.69,33499.83,403,75637,0.52,0.046,9622,49,M,0,Good
2933,272520,60,4542,Monthly Statement,333,NULL,2,5224.5,10610.79,52304.94,473,92084,0.55,0.044,10124,51,M,1,Good
3021,155616,48,3242,Monthly Statement,228,NULL,1,3241.8,7722.89,31852.17,177,92084,0.55,0.044,10124,37,F,1,Good
5650,98592,24,4108,Per Transaction,183,NULL,2,7319.15,8015.79,43995.21,327,92084,0.55,0.044,10124,32,F,1,Good
7997,160656,24,6694,Monthly Statement,651,NULL,1,6694.2,12408.08,52846.79,225,92084,0.55,0.044,10124,27,F,1,Good
9104,172080,48,3585,Monthly Statement,198,NULL,1,3585.2,8530.75,56994.87,403,92084,0.55,0.044,10124,37,F,1,Good
666,12540,12,1045,Monthly Statement,623,classic,4,2054.5,3887.4,47634.94,276,67298,0.97,0.016,8561,58,F,1,Good
3942,107352,36,2982,Weekly Statement,522,NULL,2,8205.25,12275.05,57349.79,199,67298,0.97,0.016,8561,58,F,1,Good
4576,300204,36,8339,Monthly Statement,364,NULL,1,8339,6633.34,35204.12,415,67298,0.97,0.016,8561,26,M,0,Good
4585,64656,48,1347,Monthly Statement,124,classic,2,2706,4487.17,38747.53,194,67298,0.97,0.016,8561,46,M,1,Good
5944,78720,48,1640,Monthly Statement,377,classic,2,3162.5,7561.67,47499.13,112,67298,0.97,0.016,8561,54,F,1,Good
7894,153144,36,4254,Monthly Statement,560,classic,3,3912.9,10103.44,54465.69,286,67298,0.97,0.016,8561,25,M,1,Good
9859,300600,60,5010,Monthly Statement,398,classic,4,2064.88,7512.34,48721.28,251,67298,0.97,0.016,8561,33,F,1,Good
10233,239160,60,3986,Monthly Statement,437,NULL,5,1948.14,6021.62,33274.18,291,67298,0.97,0.016,8561,46,M,1,Good
10257,37812,12,3151,Monthly Statement,489,NULL,2,8976.15,14228,52987.37,158,67298,0.97,0.016,8561,34,F,1,Good
6699,127200,48,2650,Monthly Statement,473,NULL,3,5152.4,6352.97,38370.17,222,88768,1.115,0.039,8867,28,M,1,Good
10134,136368,24,5682,Monthly Statement,260,NULL,2,7608.4,12410.42,50507.8,148,58400,1.175,0.019,8620,25,M,1,Good
10365,260640,36,7240,Monthly Statement,490,NULL,5,4012.8,8910.68,48178.84,352,58400,1.175,0.019,8620,48,F,1,Bad
67,165960,24,6915,Monthly Statement,561,NULL,3,4584.33,11827.65,56893.32,382,93931,1.33,0.02,8427,52,F,1,Good
813,24312,12,2026,Monthly Statement,455,NULL,1,2025.7,4903.94,36158.4,392,93931,1.33,0.02,8427,39,F,1,Good
2167,170256,24,7094,Monthly Statement,448,classic,2,6508,8136.21,55541.29,412,93931,1.33,0.02,8427,29,F,1,Good
3460,140688,48,2931,Monthly Statement,416,NULL,1,2931,9087.7,48259.28,114,93931,1.33,0.02,8427,53,M,1,Good
6609,60156,36,1671,Monthly Statement,230,NULL,3,2392,8003.18,38553.85,281,93931,1.33,0.02,8427,15,M,1,Bad
6688,22968,36,638,Monthly Statement,120,NULL,4,1060.75,2234.51,39637.22,249,93931,1.33,0.02,8427,46,F,1,Good
7594,130464,48,2718,Monthly Statement,664,NULL,5,1748.4,7555.97,52439.93,323,93931,1.33,0.02,8427,20,M,1,Good
10644,269964,36,7499,Monthly Statement,341,junior,2,9275.85,14032.99,61828.31,120,93931,1.33,0.02,8427,19,F,1,Good
10812,140688,48,2931,Monthly Statement,416,NULL,1,2931,9105.02,45509.38,114,93931,1.33,0.02,8427,53,M,1,Good
10963,115812,36,3217,Monthly Statement,585,NULL,1,3216.7,11652.89,60348.87,284,93931,1.33,0.02,8427,40,M,1,Good
11079,98304,12,8192,Monthly Statement,533,classic,1,8191.5,16430.45,73271.69,246,93931,1.33,0.02,8427,23,M,1,Good
472,196800,24,8200,Monthly Statement,199,NULL,1,8200.2,17553.45,58574.13,159,112065,1.345,0.045,11277,37,F,1,Bad
3916,96984,36,2694,Monthly Statement,287,NULL,4,4310.42,5693.39,18985.98,94,112065,1.345,0.045,11277,22,M,1,Good
4715,97176,24,4049,Monthly Statement,137,classic,1,4049,16946.35,58574.97,153,112065,1.345,0.045,11277,42,F,1,Good
9677,31620,60,527,Monthly Statement,247,NULL,2,4735.5,4835.31,34813.65,161,112065,1.345,0.045,11277,54,M,1,Good
10019,194940,36,5415,Monthly Statement,468,NULL,1,5415,10427.72,52650.04,250,112065,1.345,0.045,11277,28,M,1,Good
309,91248,48,1901,Monthly Statement,579,NULL,1,1901,7707.53,29792.62,108,177686,1.565,0.036,10045,26,F,1,Good
3115,321180,60,5353,Monthly Statement,233,NULL,2,10038.15,11196.76,36220.73,206,177686,1.565,0.036,10045,56,M,1,Good
4456,321240,60,5354,Monthly Statement,524,classic,1,5353.5,11495.9,70888.95,192,177686,1.565,0.036,10045,24,M,1,Good
4894,117024,24,4876,Monthly Statement,137,classic,1,4875.8,10335.82,63274.3,410,177686,1.565,0.036,10045,54,M,1,Good
5724,232560,48,4845,Per Transaction,630,NULL,5,1919.8,6653.08,34838.13,417,177686,1.565,0.036,10045,58,F,1,Good
8381,333648,48,6951,Monthly Statement,311,NULL,3,5243.27,10303,49787.86,267,177686,1.565,0.036,10045,21,F,1,Bad
8547,173016,36,4806,Weekly Statement,318,classic,1,4806.5,10054.16,55377.96,339,177686,1.565,0.036,10045,51,F,1,Good
10297,421008,48,8771,Monthly Statement,304,classic,2,9336.5,7538.23,49500,228,177686,1.565,0.036,10045,39,M,1,Good
854,87216,48,1817,Monthly Statement,616,NULL,4,1536.75,2768.04,26392.84,511,145688,1.575,0.019,8544,41,F,0,Good
1250,182640,48,3805,Monthly Statement,242,NULL,3,4645.07,7404.14,27296.22,221,145688,1.575,0.019,8544,55,F,1,Good
1498,165780,60,2763,Weekly Statement,607,NULL,1,2762.8,9533.13,46121.09,132,145688,1.575,0.019,8544,43,M,1,Good
4190,405780,60,6763,Monthly Statement,694,NULL,4,3001.5,3526.1,31995.66,316,145688,1.575,0.019,8544,43,M,1,Good
4447,192744,36,5354,Monthly Statement,137,NULL,1,5353.5,10446.92,47651.15,187,145688,1.575,0.019,8544,29,M,1,Good
6738,37908,12,3159,Monthly Statement,460,NULL,1,3159,7478.69,37719.56,288,145688,1.575,0.019,8544,19,F,1,Good
7614,320592,48,6679,Monthly Statement,465,classic,1,6678.7,14049.9,63984.1,283,145688,1.575,0.019,8544,26,F,1,Good
8919,76104,24,3171,Monthly Statement,340,NULL,3,2002.33,1894.13,22085.38,141,145688,1.575,0.019,8544,37,F,1,Good
9548,46176,48,962,Monthly Statement,161,NULL,2,5287.5,6138.11,53416.47,182,145688,1.575,0.019,8544,26,M,1,Good
10079,167100,60,2785,Monthly Statement,335,classic,1,2784.8,12142.32,56108.4,438,145688,1.575,0.019,8544,24,F,1,Good
319,369000,60,6150,Weekly Statement,633,NULL,4,2454.62,8953.59,63669.21,376,162580,1.66,0.035,9538,23,F,1,Good
1656,189792,48,3954,Monthly Statement,635,NULL,2,8033.65,8200.43,35229.68,144,162580,1.66,0.035,9538,54,M,1,Good
4852,213300,36,5925,Monthly Statement,326,NULL,2,5359.5,3662.55,24255.47,275,162580,1.66,0.035,9538,28,M,1,Good
5305,240528,48,5011,Monthly Statement,561,NULL,1,5011.2,11718.57,39089.11,149,162580,1.66,0.035,9538,38,M,1,Good
5395,158184,36,4394,Monthly Statement,497,NULL,1,4393.8,9078.15,52628.79,196,162580,1.66,0.035,9538,40,M,1,Good
6030,28248,24,1177,Monthly Statement,557,gold,1,1177,7888.51,60557.28,353,162580,1.66,0.035,9538,25,F,1,Good
8038,35856,24,1494,Monthly Statement,519,classic,2,3354.5,7672.57,55829.7,168,162580,1.66,0.035,9538,31,F,1,Good
8533,174048,48,3626,Monthly Statement,345,classic,1,3626,10587.94,66296.53,296,162580,1.66,0.035,9538,45,F,1,Good
9031,50112,24,2088,Monthly Statement,108,NULL,4,1776.5,4031.66,34675.32,189,162580,1.66,0.035,9538,45,M,1,Good
9093,189300,60,3155,Monthly Statement,413,classic,3,2361,4664.36,50215.64,580,162580,1.66,0.035,9538,37,M,0,Good
2247,72504,24,3021,Monthly Statement,317,NULL,5,1333.4,5381.53,40649.7,300,122603,1.7,0.043,8991,47,F,1,Good
2419,95808,12,7984,Monthly Statement,429,NULL,1,7984.3,14347.52,66389.96,420,122603,1.7,0.043,8991,50,M,0,Good
4414,97224,24,4051,Monthly Statement,531,NULL,3,3758.67,3752.43,34073.23,478,122603,1.7,0.043,8991,44,F,0,Good
4476,15192,24,633,Monthly Statement,685,NULL,4,1960.75,3791.62,27463.7,406,122603,1.7,0.043,8991,24,F,1,Good
5428,174744,24,7281,Monthly Statement,163,NULL,1,7281.3,10178.94,45002.22,458,122603,1.7,0.043,8991,45,F,1,Bad
6062,321360,60,5356,Monthly Statement,599,classic,2,7982,11507.83,53716.3,202,122603,1.7,0.043,8991,19,M,1,Good
8073,49320,12,4110,Per Transaction,167,NULL,3,5457.33,9737.57,49615.36,533,122603,1.7,0.043,8991,48,F,1,Bad
10001,19044,36,529,Monthly Statement,410,NULL,1,529,5865.2,56285.16,248,122603,1.7,0.043,8991,22,F,1,Good
2279,314688,48,6556,Weekly Statement,579,classic,1,6556.3,14780.37,56690.33,147,88884,1.76,0.027,8507,20,M,1,Good
2720,93888,36,2608,Weekly Statement,315,NULL,3,4511.07,12418.7,63682.54,167,88884,1.76,0.027,8507,58,M,1,Good
4727,107640,24,4485,Monthly Statement,179,NULL,3,3308.67,10215.47,57480.77,353,88884,1.76,0.027,8507,36,F,1,Good
7745,77544,36,2154,Monthly Statement,386,classic,2,6156.9,12036.85,45833.58,169,88884,1.76,0.027,8507,56,F,1,Good
8492,85860,60,1431,Monthly Statement,431,classic,2,2917,3307.31,41859.7,422,88884,1.76,0.027,8507,40,F,1,Good
10645,208332,36,5787,Monthly Statement,561,NULL,2,4763.5,15529.61,66259.24,163,88884,1.76,0.027,8507,18,F,1,Good
344,100980,60,1683,Monthly Statement,385,NULL,2,3211,4615.17,41086.57,399,387570,1.78,0.048,9897,25,M,1,Good
442,357840,48,7455,Monthly Statement,102,NULL,3,5043,10057.35,31241.49,80,387570,1.78,0.048,9897,56,F,1,Bad
790,208128,48,4336,Monthly Statement,439,classic,1,4335.8,9284.46,45511.25,406,387570,1.78,0.048,9897,39,M,1,Bad
1093,385104,48,8023,Monthly Statement,516,NULL,2,9141.9,14952.23,47677.04,243,387570,1.78,0.048,9897,41,F,1,Good
2064,83628,36,2323,Monthly Statement,239,NULL,1,2322.7,5482.36,26644.3,128,387570,1.78,0.048,9897,20,F,1,Good
3834,23052,12,1921,Monthly Statement,617,NULL,5,1772.2,3333.55,24129.71,665,387570,1.78,0.048,9897,54,F,1,Good
3967,84600,36,2350,Monthly Statement,188,NULL,1,2349.5,12677.08,57086.61,189,387570,1.78,0.048,9897,55,M,1,Bad
4099,41856,48,872,Monthly Statement,431,classic,4,1124.75,4679.21,41713.7,255,387570,1.78,0.048,9897,37,F,1,Good
4746,204780,60,3413,Monthly Statement,198,classic,1,3413,15682,65213.01,153,387570,1.78,0.048,9897,41,M,1,Good
4981,179328,48,3736,Monthly Statement,311,NULL,2,4333,7811.22,35846.19,227,387570,1.78,0.048,9897,19,M,1,Good
5033,11400,12,950,Monthly Statement,357,NULL,4,1430,2054.27,28142.6,321,387570,1.78,0.048,9897,16,F,1,Good
5180,58764,12,4897,Monthly Statement,507,classic,1,4897,11962.61,45220.68,74,387570,1.78,0.048,9897,53,F,1,Good
5891,65184,12,5432,Monthly Statement,448,gold,1,5432.3,11066.27,70233.51,464,387570,1.78,0.048,9897,33,M,0,Good
6138,67608,24,2817,Monthly Statement,189,NULL,2,6843.15,7141.83,23762.46,115,387570,1.78,0.048,9897,35,F,1,Good
6678,294384,48,6133,Monthly Statement,553,NULL,1,6133,14978.2,66044.01,274,387570,1.78,0.048,9897,31,F,1,Good
7542,590820,60,9847,Monthly Statement,521,NULL,3,5639.67,4975.94,37909.66,220,387570,1.78,0.048,9897,26,M,1,Good
7966,473280,60,7888,Monthly Statement,254,NULL,1,7887.7,8347.04,44964.87,168,387570,1.78,0.048,9897,30,F,1,Bad
8092,56100,60,935,Monthly Statement,405,NULL,2,3575.5,3594.64,20582.01,269,387570,1.78,0.048,9897,34,M,1,Good
8523,93036,12,7753,Monthly Statement,447,NULL,1,7753.3,13661.78,55230.82,185,387570,1.78,0.048,9897,17,F,1,Good
9424,83628,36,2323,Monthly Statement,239,NULL,1,2322.7,5486.82,26198.42,128,387570,1.78,0.048,9897,20,F,1,Good
9730,116040,60,1934,Monthly Statement,226,NULL,3,2318.67,3370.29,25973.53,157,387570,1.78,0.048,9897,58,F,1,Good
9731,113796,36,3161,Per Transaction,356,NULL,3,3149.23,5871.89,31905.48,346,387570,1.78,0.048,9897,20,M,1,Good
10266,75624,24,3151,Monthly Statement,196,NULL,1,3151.3,9714.77,38446.59,453,387570,1.78,0.048,9897,31,M,1,Bad
11328,280440,60,4674,Monthly Statement,620,NULL,1,4674,9087.81,46942.41,146,387570,1.78,0.048,9897,46,F,1,Good
19,30276,12,2523,Monthly Statement,388,NULL,1,2523.2,5199.72,16253.07,303,103347,1.79,0.023,9104,57,F,1,Bad
105,352704,48,7348,Monthly Statement,513,classic,1,7348,8368.81,30200.6,59,103347,1.79,0.023,9104,48,F,1,Good
785,156096,36,4336,Weekly Statement,187,NULL,2,5865.4,8741.08,43870.6,108,103347,1.79,0.023,9104,42,M,1,Good
7418,30276,12,2523,Monthly Statement,388,NULL,1,2523.2,4177.47,16124.03,377,103347,1.79,0.023,9104,57,F,1,Bad
7606,191880,60,3198,Monthly Statement,272,NULL,3,4440.6,10185.41,55607.89,402,103347,1.79,0.023,9104,43,M,1,Good
9494,116832,12,9736,Monthly Statement,275,NULL,2,7241,5331.22,26965.39,200,103347,1.79,0.023,9104,48,F,1,Good
10361,86880,12,7240,Monthly Statement,346,classic,1,7240,17625.75,44567.11,160,103347,1.79,0.023,9104,57,F,1,Good
1762,248148,36,6893,Monthly Statement,503,NULL,4,3267.5,5135.56,30375.07,490,72541,1.815,0.021,8594,55,F,1,Good
1766,30060,60,501,Monthly Statement,651,classic,5,1467.2,4538.91,28752.8,483,72541,1.815,0.021,8594,41,M,1,Good
1808,385584,48,8033,Monthly Statement,502,NULL,1,8033.2,12144.22,69693.27,101,72541,1.815,0.021,8594,20,M,1,Good
2361,156672,36,4352,Monthly Statement,400,NULL,2,4482.5,3251.26,19727.55,367,72541,1.815,0.021,8594,39,F,1,Good
5317,90180,36,2505,Monthly Statement,138,NULL,2,3417.9,5620.57,29359.96,152,72541,1.815,0.021,8594,32,M,1,Good
9179,215040,60,3584,Monthly Statement,403,NULL,1,3583.7,6984.2,42151.29,151,72541,1.815,0.021,8594,37,F,1,Good
