amount,duration,payments,frequency,date_diff,card_type,no_orders,avg_order,avg_trans,avg_bal,no_of_trans,total_inhabitants,avg_unemp_rt,avg_crime_rt,avg_salary,age_at_loan,Gender_F,Gender_M,same_dist_N,same_dist_Y,loan_status
253512,36,7042,0.13353115727002968,213,0.7537091988130564,1,7042.0,8215.26,31399.73,200,108871,3.355,0.023,8444,51,0,1,0,1,1
87216,48,1817,0.8204747774480712,192,0.7537091988130564,1,1817.3,3824.31,17821.63,502,58796,3.365,0.032,9045,26,1,0,0,1,1
57360,12,4780,0.8204747774480712,313,0.7537091988130564,4,3008.0,6726.55,27610.5,249,77963,3.485,0.037000000000000005,8546,36,1,0,0,1,1
464520,60,7742,0.13353115727002968,257,0.7537091988130564,1,7741.8,10133.12,37420.93,441,77963,3.485,0.037000000000000005,8546,53,0,1,1,0,1
360864,48,7518,0.13353115727002968,374,0.7537091988130564,1,7518.0,11366.44,44138.92,220,77963,3.485,0.037000000000000005,8546,20,0,1,0,1,1
96396,12,8033,0.13353115727002968,105,0.7537091988130564,1,8033.2,10195.76,44264.54,403,94812,3.525,0.031,9650,46,0,1,0,1,1
139464,36,3874,0.8204747774480712,396,0.7537091988130564,1,3873.7,7644.02,22738.48,171,182027,3.535,0.024,8746,34,1,0,0,1,1
66480,24,2770,0.13353115727002968,139,0.7537091988130564,1,2770.3,9752.95,31561.58,199,182027,3.535,0.024,8746,57,1,0,0,1,1
260400,60,4340,0.8204747774480712,557,0.7537091988130564,3,5407.0,9103.57,33174.54,232,182027,3.535,0.024,8746,47,0,1,0,1,1
407952,48,8499,0.8204747774480712,478,0.7537091988130564,1,8499.0,3185.88,14818.46,128,51428,3.555,0.02,8402,24,0,1,0,1,1
164052,36,4557,0.04599406528189911,367,0.7537091988130564,1,4557.2,9456.97,36316.49,389,51313,3.86,0.027000000000000003,8930,19,0,1,0,1,1
72408,24,3017,0.04599406528189911,126,0.7537091988130564,4,4468.92,7155.01,40908.09,287,51313,3.86,0.027000000000000003,8930,38,0,1,0,1,1
189696,24,7904,0.8204747774480712,134,0.7537091988130564,3,3861.6,10046.27,36164.12,339,110643,3.965,0.019,8441,25,0,1,0,1,1
76908,12,6409,0.8204747774480712,485,0.7537091988130564,1,6408.8,11575.65,46888.42,473,107870,4.07,0.036000000000000004,8754,48,0,1,1,0,1
465504,48,9698,0.8204747774480712,374,0.7537091988130564,5,3405.0,4491.12,18703.69,197,226122,4.295,0.042,8994,32,1,0,0,1,1
29448,12,2454,0.8204747774480712,119,0.7537091988130564,1,2454.5,4663.41,13411.6,221,226122,4.295,0.042,8994,45,1,0,0,1,1
68400,12,5700,0.8204747774480712,167,0.7537091988130564,1,5700.3,8930.86,33456.91,243,228848,4.405,0.025,9893,19,0,1,0,1,1
276660,36,7685,0.8204747774480712,314,0.7537091988130564,1,7685.0,3617.04,16486.47,391,124605,4.835,0.024,8772,41,1,0,0,1,1
129312,24,5388,0.8204747774480712,684,0.7537091988130564,1,5388.5,12308.35,43747.96,233,149893,4.845,0.037000000000000005,9753,24,0,1,0,1,1
94512,12,7876,0.8204747774480712,632,0.7537091988130564,1,7876.0,15059.54,34594.55,260,323870,5.095,0.057,10673,41,1,0,0,1,1
230220,36,6395,0.8204747774480712,356,0.7537091988130564,3,5281.27,6777.68,32238.66,452,323870,5.095,0.057,10673,52,0,1,0,1,1
151728,48,3161,0.8204747774480712,271,0.7537091988130564,1,3160.7,10353.19,47080.87,416,323870,5.095,0.057,10673,15,1,0,0,1,1
100800,24,4200,0.8204747774480712,469,0.7537091988130564,4,3898.8,4060.7,17675.37,142,102609,5.14,0.021,8187,55,1,0,0,1,1
36204,12,3017,0.8204747774480712,478,0.7537091988130564,1,3017.2,5035.86,26264.6,196,102609,5.14,0.021,8187,56,1,0,0,1,1
385560,60,6426,0.8204747774480712,424,0.7537091988130564,1,6426.3,8534.55,23113.34,158,102609,5.14,0.021,8187,38,1,0,0,1,1
51360,12,4280,0.8204747774480712,382,0.7537091988130564,1,4280.0,14682.24,47434.32,196,117897,5.25,0.018000000000000002,8814,52,0,1,0,1,1
187224,24,7801,0.8204747774480712,504,0.7537091988130564,1,7801.2,10410.83,43980.64,379,114200,5.73,0.021,8403,44,1,0,1,0,1
177744,48,3703,0.8204747774480712,511,0.1943620178041543,1,3702.8,9726.23,51253.59,427,161227,5.75,0.03,8678,19,1,0,1,0,1
299088,36,8308,0.8204747774480712,419,0.7537091988130564,3,4842.6,8654.49,34860.07,471,106054,6.16,0.03,8110,28,0,1,0,1,1
335184,48,6983,0.8204747774480712,401,0.7537091988130564,1,6983.3,12024.74,31331.27,134,106054,6.16,0.03,8110,20,0,1,0,1,1
247920,48,5165,0.8204747774480712,271,0.7537091988130564,1,5165.2,9098.56,48419.57,111,106054,6.16,0.03,8110,40,0,1,0,1,1
174744,24,7281,0.8204747774480712,452,0.02967359050445104,4,4619.58,8186.32,30541.96,530,125236,7.055,0.042,9675,16,0,1,1,0,1
541200,60,9020,0.8204747774480712,587,0.7537091988130564,5,2857.2,3142.57,6690.55,329,285387,7.19,0.035,10177,51,0,1,0,1,1
100224,48,2088,0.8204747774480712,125,0.7537091988130564,1,2088.0,3813.97,15865.91,267,285387,7.19,0.035,10177,39,0,1,0,1,1
59448,24,2477,0.8204747774480712,539,0.7537091988130564,1,2476.8,9646.73,48328.87,276,285387,7.19,0.035,10177,41,1,0,0,1,1
80952,24,3373,0.8204747774480712,313,0.7537091988130564,2,5319.35,6593.05,36540.7,478,1204953,0.36,0.077,12541,45,1,0,0,1,0
76944,12,6412,0.8204747774480712,535,0.1943620178041543,4,5075.25,9901.69,48722.66,281,1204953,0.36,0.077,12541,41,0,1,0,1,0
78936,12,6578,0.8204747774480712,273,0.7537091988130564,3,3374.67,3259.68,30917.35,499,1204953,0.36,0.077,12541,37,0,1,1,0,0
37944,36,1054,0.8204747774480712,594,0.1943620178041543,1,1054.0,9041.93,67825.29,169,1204953,0.36,0.077,12541,32,0,1,0,1,0
209040,24,8710,0.8204747774480712,355,0.02967359050445104,3,3920.67,6418.4,45958.46,92,1204953,0.36,0.077,12541,15,1,0,0,1,0
44952,24,1873,0.8204747774480712,433,0.7537091988130564,3,3128.6,8166.45,49927.9,216,1204953,0.36,0.077,12541,24,1,0,0,1,0
101520,12,8460,0.8204747774480712,245,0.7537091988130564,2,5964.0,5007.85,22391.5,185,1204953,0.36,0.077,12541,20,0,1,0,1,0
71460,36,1985,0.8204747774480712,240,0.02967359050445104,2,4624.5,7506.29,33956.62,228,1204953,0.36,0.077,12541,16,0,1,0,1,0
415800,60,6930,0.8204747774480712,286,0.7537091988130564,1,6930.0,12953.86,46116.73,189,1204953,0.36,0.077,12541,47,0,1,0,1,0
20196,36,561,0.8204747774480712,523,0.7537091988130564,2,3151.5,8081.11,55270.52,286,1204953,0.36,0.077,12541,21,1,0,0,1,0
24516,12,2043,0.8204747774480712,317,0.7537091988130564,1,2043.0,12940.83,55885.48,534,1204953,0.36,0.077,12541,31,1,0,0,1,0
428784,48,8933,0.8204747774480712,436,0.7537091988130564,4,3238.5,3644.06,19475.24,192,1204953,0.36,0.077,12541,58,1,0,0,1,0
136344,24,5681,0.8204747774480712,638,0.7537091988130564,2,6374.0,4816.75,34076.86,179,1204953,0.36,0.077,12541,34,0,1,0,1,0
268320,60,4472,0.8204747774480712,257,0.7537091988130564,3,4190.33,4333.39,18990.22,173,1204953,0.36,0.077,12541,45,0,1,0,1,0
31248,12,2604,0.8204747774480712,570,0.7537091988130564,1,2604.5,11484.25,60424.51,422,1204953,0.36,0.077,12541,56,0,1,0,1,0
77184,36,2144,0.8204747774480712,573,0.7537091988130564,1,2144.0,11790.42,47050.96,264,1204953,0.36,0.077,12541,42,0,1,0,1,0
276084,36,7669,0.8204747774480712,476,0.1943620178041543,5,2349.14,10670.77,59131.29,155,1204953,0.36,0.077,12541,35,0,1,0,1,0
271584,48,5658,0.8204747774480712,510,0.1943620178041543,1,5658.0,12413.42,66368.94,198,1204953,0.36,0.077,12541,17,1,0,0,1,0
76380,12,6365,0.8204747774480712,246,0.7537091988130564,4,3020.25,3044.82,17848.63,421,1204953,0.36,0.077,12541,38,0,1,0,1,0
18564,12,1547,0.8204747774480712,128,0.7537091988130564,2,2382.5,5503.64,54388.83,320,1204953,0.36,0.077,12541,32,0,1,0,1,0
74916,36,2081,0.8204747774480712,664,0.7537091988130564,3,4470.93,12611.07,58487.88,206,1204953,0.36,0.077,12541,52,1,0,0,1,0
63576,12,5298,0.8204747774480712,202,0.7537091988130564,1,5297.7,9966.86,57357.94,127,1204953,0.36,0.077,12541,38,0,1,0,1,0
212976,36,5916,0.8204747774480712,671,0.7537091988130564,2,7334.35,10934.23,47824.52,185,1204953,0.36,0.077,12541,25,0,1,0,1,0
66696,24,2779,0.8204747774480712,110,0.1943620178041543,2,7519.35,14029.17,75595.63,124,1204953,0.36,0.077,12541,18,1,0,0,1,0
258444,36,7179,0.13353115727002968,205,0.7537091988130564,1,7178.8,10195.77,56216.58,206,1204953,0.36,0.077,12541,26,1,0,0,1,0
165168,36,4588,0.8204747774480712,461,0.1943620178041543,3,5981.17,8620.77,46892.64,253,1204953,0.36,0.077,12541,39,0,1,0,1,0
323472,48,6739,0.8204747774480712,415,0.1943620178041543,2,4873.35,9866.77,48719.46,453,1204953,0.36,0.077,12541,54,0,1,0,1,0
99216,36,2756,0.8204747774480712,443,0.7537091988130564,2,6438.0,12802.76,58031.57,99,1204953,0.36,0.077,12541,48,0,1,0,1,0
31176,24,1299,0.8204747774480712,173,0.7537091988130564,3,3285.0,5959.42,34951.46,303,1204953,0.36,0.077,12541,24,1,0,0,1,0
61056,48,1272,0.8204747774480712,347,0.7537091988130564,3,2495.0,4734.44,33080.65,459,1204953,0.36,0.077,12541,37,0,1,1,0,0
11736,24,489,0.8204747774480712,528,0.7537091988130564,4,2365.0,5635.81,34715.78,580,1204953,0.36,0.077,12541,52,1,0,0,1,0
5148,12,429,0.8204747774480712,446,0.7537091988130564,2,4475.0,7497.5,40547.79,126,1204953,0.36,0.077,12541,35,0,1,0,1,0
110136,24,4589,0.8204747774480712,553,0.7537091988130564,2,4740.1,10719.85,48492.1,244,1204953,0.36,0.077,12541,39,0,1,0,1,0
34572,12,2881,0.8204747774480712,228,0.7537091988130564,1,2881.0,9941.23,49152.76,145,1204953,0.36,0.077,12541,20,0,1,0,1,0
390660,60,6511,0.8204747774480712,308,0.02967359050445104,2,8632.85,14761.07,68033.45,224,1204953,0.36,0.077,12541,19,0,1,0,1,0
100260,60,1671,0.8204747774480712,684,0.1943620178041543,1,1671.0,10793.66,52747.2,186,1204953,0.36,0.077,12541,26,1,0,0,1,0
17184,12,1432,0.8204747774480712,310,0.7537091988130564,4,1356.0,3228.95,32435.25,256,1204953,0.36,0.077,12541,53,0,1,0,1,0
234336,48,4882,0.8204747774480712,659,0.7537091988130564,4,4353.12,8017.96,40076.48,223,1204953,0.36,0.077,12541,27,0,1,0,1,0
48672,36,1352,0.8204747774480712,415,0.7537091988130564,5,850.0,1315.57,18803.08,567,1204953,0.36,0.077,12541,47,0,1,1,0,0
203940,60,3399,0.8204747774480712,358,0.7537091988130564,2,4754.5,8350.81,43275.1,149,1204953,0.36,0.077,12541,44,0,1,0,1,0
80952,24,3373,0.8204747774480712,313,0.7537091988130564,2,5319.35,6605.89,35557.5,478,1204953,0.36,0.077,12541,45,1,0,0,1,0
31728,24,1322,0.8204747774480712,568,0.7537091988130564,2,3671.0,4838.52,35077.34,433,1204953,0.36,0.077,12541,41,1,0,0,1,0
94488,24,3937,0.8204747774480712,243,0.7537091988130564,3,4265.77,10876.4,61186.58,258,1204953,0.36,0.077,12541,35,1,0,0,1,0
91584,24,3816,0.8204747774480712,211,0.7537091988130564,1,3816.0,11498.81,48070.33,366,1204953,0.36,0.077,12541,43,0,1,1,0,0
140400,36,3900,0.8204747774480712,392,0.1943620178041543,1,3900.5,12672.65,62794.68,442,1204953,0.36,0.077,12541,49,1,0,1,0,0
208320,48,4340,0.13353115727002968,479,0.7537091988130564,1,4340.0,9533.83,41532.32,416,1204953,0.36,0.077,12541,26,0,1,1,0,0
247728,48,5161,0.13353115727002968,215,0.02967359050445104,3,3934.73,7587.21,48589.13,339,1204953,0.36,0.077,12541,13,1,0,0,1,0
288360,60,4806,0.04599406528189911,107,0.7537091988130564,1,4806.5,6030.21,37991.87,337,1204953,0.36,0.077,12541,55,1,0,0,1,0
88272,48,1839,0.8204747774480712,399,0.7537091988130564,2,4598.15,3912.76,15259.59,192,1204953,0.36,0.077,12541,18,0,1,0,1,0
74352,24,3098,0.8204747774480712,559,0.7537091988130564,2,5097.5,10743.86,49900.94,191,1204953,0.36,0.077,12541,40,0,1,0,1,0
125340,60,2089,0.13353115727002968,476,0.7537091988130564,2,2900.9,9901.12,65644.52,471,1204953,0.36,0.077,12541,48,1,0,0,1,0
566640,60,9444,0.8204747774480712,308,0.7537091988130564,5,3443.2,4270.25,37751.48,200,1204953,0.36,0.077,12541,26,0,1,0,1,0
70656,48,1472,0.8204747774480712,273,0.7537091988130564,2,3871.0,4368.28,26800.23,263,1204953,0.36,0.077,12541,40,1,0,0,1,0
38148,12,3179,0.8204747774480712,171,0.7537091988130564,4,4403.0,5386.02,39267.01,611,1204953,0.36,0.077,12541,29,0,1,0,1,0
321936,48,6707,0.8204747774480712,693,0.7537091988130564,3,4718.67,4143.29,35405.3,206,1204953,0.36,0.077,12541,37,0,1,0,1,0
39576,12,3298,0.8204747774480712,522,0.02967359050445104,3,5602.77,8694.95,64095.11,643,1204953,0.36,0.077,12541,14,0,1,1,0,0
99936,24,4164,0.8204747774480712,590,0.1943620178041543,3,3635.0,8033.49,63444.43,347,1204953,0.36,0.077,12541,31,0,1,0,1,0
120888,36,3358,0.13353115727002968,496,0.7537091988130564,2,3291.5,6206.53,39186.99,431,1204953,0.36,0.077,12541,50,0,1,0,1,0
36396,12,3033,0.13353115727002968,671,0.7537091988130564,2,4076.0,9881.05,53966.39,454,1204953,0.36,0.077,12541,19,1,0,1,0,0
228276,36,6341,0.8204747774480712,166,0.7537091988130564,1,6341.0,6025.83,36799.78,167,1204953,0.36,0.077,12541,31,1,0,0,1,0
157068,36,4363,0.8204747774480712,245,0.7537091988130564,2,5798.35,11534.26,52712.79,88,1204953,0.36,0.077,12541,27,0,1,0,1,0
76416,24,3184,0.8204747774480712,669,0.7537091988130564,3,5956.1,6509.83,40070.96,530,1204953,0.36,0.077,12541,53,1,0,0,1,0
279072,48,5814,0.13353115727002968,611,0.7537091988130564,1,5813.5,12456.66,42764.55,143,1204953,0.36,0.077,12541,25,1,0,0,1,0
36168,12,3014,0.8204747774480712,202,0.7537091988130564,4,3953.12,5208.0,30307.7,382,1204953,0.36,0.077,12541,30,1,0,0,1,0
218064,48,4543,0.8204747774480712,241,0.1943620178041543,3,5441.57,8411.59,52006.02,133,1204953,0.36,0.077,12541,54,0,1,0,1,0
77808,12,6484,0.8204747774480712,117,0.7537091988130564,1,6483.7,11947.69,54901.3,144,1204953,0.36,0.077,12541,38,1,0,0,1,0
231696,36,6436,0.13353115727002968,476,0.7537091988130564,4,4152.75,9992.61,44400.91,470,1204953,0.36,0.077,12541,18,1,0,0,1,0
194280,60,3238,0.8204747774480712,426,0.1943620178041543,5,1519.0,5957.95,47123.98,208,1204953,0.36,0.077,12541,25,1,0,0,1,0
45720,12,3810,0.8204747774480712,415,0.7537091988130564,3,2487.33,9059.65,38910.12,149,1204953,0.36,0.077,12541,19,0,1,0,1,0
197808,24,8242,0.8204747774480712,125,0.1943620178041543,2,7455.9,17554.73,67736.73,116,1204953,0.36,0.077,12541,35,0,1,0,1,0
68832,36,1912,0.8204747774480712,330,0.7537091988130564,2,3673.5,6292.37,36905.75,245,1204953,0.36,0.077,12541,33,1,0,0,1,0
131292,36,3647,0.13353115727002968,425,0.7537091988130564,2,5479.5,7146.4,39886.77,460,1204953,0.36,0.077,12541,36,1,0,0,1,0
274740,60,4579,0.13353115727002968,204,0.02967359050445104,3,4944.67,11166.87,56912.55,571,1204953,0.36,0.077,12541,11,1,0,1,0,0
108144,36,3004,0.8204747774480712,256,0.7537091988130564,2,3870.25,11284.77,59002.17,492,1204953,0.36,0.077,12541,31,0,1,1,0,0
44940,12,3745,0.13353115727002968,238,0.1943620178041543,1,3744.7,11159.27,61940.02,152,1204953,0.36,0.077,12541,22,0,1,0,1,0
89280,12,7440,0.8204747774480712,261,0.7537091988130564,3,5817.5,12635.16,50357.55,173,1204953,0.36,0.077,12541,46,1,0,0,1,0
419880,60,6998,0.13353115727002968,156,0.7537091988130564,2,8942.0,13017.67,48769.45,304,1204953,0.36,0.077,12541,50,0,1,0,1,0
149040,48,3105,0.8204747774480712,292,0.7537091988130564,2,3751.1,6158.57,37200.37,447,75637,0.52,0.046,9622,25,0,1,0,1,0
50460,60,841,0.8204747774480712,269,0.02225519287833828,2,4065.0,4952.83,56606.76,413,75637,0.52,0.046,9622,47,0,1,0,1,0
49044,12,4087,0.8204747774480712,165,0.7537091988130564,2,4344.9,9049.85,37358.74,87,75637,0.52,0.046,9622,45,0,1,0,1,0
80340,12,6695,0.8204747774480712,319,0.02967359050445104,1,6695.0,13587.57,56843.84,423,75637,0.52,0.046,9622,18,0,1,1,0,0
164256,48,3422,0.8204747774480712,468,0.7537091988130564,1,3421.5,9705.64,52243.15,264,75637,0.52,0.046,9622,21,1,0,0,1,0
86616,12,7218,0.8204747774480712,125,0.7537091988130564,3,3911.0,3690.74,55418.81,561,75637,0.52,0.046,9622,28,1,0,0,1,0
59448,24,2477,0.8204747774480712,502,0.7537091988130564,1,2476.8,5682.89,26120.89,177,75637,0.52,0.046,9622,36,1,0,0,1,0
126600,24,5275,0.8204747774480712,693,0.7537091988130564,1,5274.7,11348.63,45819.11,406,75637,0.52,0.046,9622,52,1,0,1,0,0
260028,36,7223,0.8204747774480712,689,0.1943620178041543,3,7107.4,11962.19,46606.31,473,75637,0.52,0.046,9622,15,1,0,0,1,0
69360,48,1445,0.8204747774480712,450,0.7537091988130564,1,1445.0,4401.69,33499.83,403,75637,0.52,0.046,9622,49,1,0,1,0,0
272520,60,4542,0.8204747774480712,333,0.7537091988130564,2,5224.5,10610.79,52304.94,473,92084,0.55,0.044000000000000004,10124,51,1,0,0,1,0
155616,48,3242,0.8204747774480712,228,0.7537091988130564,1,3241.8,7722.89,31852.17,177,92084,0.55,0.044000000000000004,10124,37,0,1,0,1,0
98592,24,4108,0.04599406528189911,183,0.7537091988130564,2,7319.15,8015.79,43995.21,327,92084,0.55,0.044000000000000004,10124,32,0,1,0,1,0
160656,24,6694,0.8204747774480712,651,0.7537091988130564,1,6694.2,12408.08,52846.79,225,92084,0.55,0.044000000000000004,10124,27,0,1,0,1,0
172080,48,3585,0.8204747774480712,198,0.7537091988130564,1,3585.2,8530.75,56994.87,403,92084,0.55,0.044000000000000004,10124,37,0,1,0,1,0
12540,12,1045,0.8204747774480712,623,0.1943620178041543,4,2054.5,3887.4,47634.94,276,67298,0.97,0.016,8561,58,0,1,0,1,0
107352,36,2982,0.13353115727002968,522,0.7537091988130564,2,8205.25,12275.05,57349.79,199,67298,0.97,0.016,8561,58,0,1,0,1,0
300204,36,8339,0.8204747774480712,364,0.7537091988130564,1,8339.0,6633.34,35204.12,415,67298,0.97,0.016,8561,26,1,0,1,0,0
64656,48,1347,0.8204747774480712,124,0.1943620178041543,2,2706.0,4487.17,38747.53,194,67298,0.97,0.016,8561,46,1,0,0,1,0
78720,48,1640,0.8204747774480712,377,0.1943620178041543,2,3162.5,7561.67,47499.13,112,67298,0.97,0.016,8561,54,0,1,0,1,0
153144,36,4254,0.8204747774480712,560,0.1943620178041543,3,3912.9,10103.44,54465.69,286,67298,0.97,0.016,8561,25,1,0,0,1,0
300600,60,5010,0.8204747774480712,398,0.1943620178041543,4,2064.88,7512.34,48721.28,251,67298,0.97,0.016,8561,33,0,1,0,1,0
239160,60,3986,0.8204747774480712,437,0.7537091988130564,5,1948.14,6021.62,33274.18,291,67298,0.97,0.016,8561,46,1,0,0,1,0
37812,12,3151,0.8204747774480712,489,0.7537091988130564,2,8976.15,14228.0,52987.37,158,67298,0.97,0.016,8561,34,0,1,0,1,0
127200,48,2650,0.8204747774480712,473,0.7537091988130564,3,5152.4,6352.97,38370.17,222,88768,1.115,0.039,8867,28,1,0,0,1,0
136368,24,5682,0.8204747774480712,260,0.7537091988130564,2,7608.4,12410.42,50507.8,148,58400,1.175,0.019,8620,25,1,0,0,1,0
165960,24,6915,0.8204747774480712,561,0.7537091988130564,3,4584.33,11827.65,56893.32,382,93931,1.33,0.02,8427,52,0,1,0,1,0
24312,12,2026,0.8204747774480712,455,0.7537091988130564,1,2025.7,4903.94,36158.4,392,93931,1.33,0.02,8427,39,0,1,0,1,0
170256,24,7094,0.8204747774480712,448,0.1943620178041543,2,6508.0,8136.21,55541.29,412,93931,1.33,0.02,8427,29,0,1,0,1,0
140688,48,2931,0.8204747774480712,416,0.7537091988130564,1,2931.0,9087.7,48259.28,114,93931,1.33,0.02,8427,53,1,0,0,1,0
22968,36,638,0.8204747774480712,120,0.7537091988130564,4,1060.75,2234.51,39637.22,249,93931,1.33,0.02,8427,46,0,1,0,1,0
130464,48,2718,0.8204747774480712,664,0.7537091988130564,5,1748.4,7555.97,52439.93,323,93931,1.33,0.02,8427,20,1,0,0,1,0
269964,36,7499,0.8204747774480712,341,0.02967359050445104,2,9275.85,14032.99,61828.31,120,93931,1.33,0.02,8427,19,0,1,0,1,0
140688,48,2931,0.8204747774480712,416,0.7537091988130564,1,2931.0,9105.02,45509.38,114,93931,1.33,0.02,8427,53,1,0,0,1,0
